camaras	id	mes_dia	procedimiento	estado	acuerdo	desacuerdo	ano	comisiones
	9970	Jun 05	Aprobación del título y el tránsito a siguiente debate del Proyecto de ley número 189 de 2012 Senado, 139 de 2011 Cámara.	aprobado	91%	9%	2013	Comisión Quinta de Senado
	9971	Jun 05	Aprobación de la proposición positiva con que termina el informe de ponencia del Proyecto de ley número 168 de 2012 Senado, 036 de 2012 Cámara.	aprobado	90%	10%	2013	Comisión Quinta de Senado
	9972	Jun 05	Aprobación en bloque de los artículos 1°, 2°, 4°, 5°, 8°, 9°, 11, 12 y 13, del Proyecto de ley número 168 de 2012 Senado, 036 de 2012 Cámara, como ...	aprobado	90%	10%	2013	Comisión Quinta de Senado
	9973	Jun 05	Aprobación en bloque de los artículos 3º 6º 7º y 10º con las modificaciones propuestas, junto con las proposiciones suscritas por la senadora Maritza Martínez, que adicionan dos artículos nuevos ...	aprobado	89%	11%	2013	Comisión Quinta de Senado
	9974	Jun 05	Aprobación de la proposición positiva con que termina el informe de ponencia del Proyecto de ley número 164 de 2013 Senado.	aprobado	90%	10%	2013	Comisión Quinta de Senado
	9975	Jun 05	Aprobación de la proposición modificativa a los artículos 3° y 4°, junto con la proposición por medio de la cual se elimina el artículo 1° del Proyecto de ley número ...	aprobado	100%	0%	2013	Comisión Quinta de Senado
	9976	Jun 05	Aprobación del aplazamiento de la votación del artículo 7° propuesto por la senadora Daira Galvis Méndez, del Proyecto de ley número 164 de 2012 Senado.	no-aprobado	33%	67%	2013	Comisión Quinta de Senado
	9977	Jun 05	Aprobación en bloque del articulado del Proyecto de ley número 164 de 2012 Senado, como está redactado en la ponencia.	aprobado	100%	0%	2013	Comisión Quinta de Senado
Cámara de Representantes	9406	Jun 04	Aprobación de la proposición por medio de la cual se reabre la votación del Orden del Día.	aprobado	74%	26%	2013	
Cámara de Representantes	9407	Jun 04	Aprobación del título y el tránsito a siguiente debate del Proyecto de Ley número 238 de 2012 Cámara.	aprobado	83%	17%	2013	
Senado	9641	Jun 04	Aprobación de la proposición positiva con que termina el Informe de Ponencia del Proyecto de ley número 139 de 2012 Senado.	aprobado	85%	15%	2013	
Senado	9642	Jun 04	Aprobación de la proposición positiva con que termina el Informe de Ponencia al Proyecto de ley número 257 de 2012 Senado, 095 de 2011 Cámara.	no-quorum	100%	0%	2013	
	9742	Jun 04	Aprobación del impedimento presentado por el senador Jorge Eliécer Ballesteros para participar en la discusión y votación de los Proyectos de ley número 051 del 2012, 210 de 2013 y ...	no-aprobado	20%	80%	2013	Comisión Séptima de Senado
	9743	Jun 04	Aprobación del impedimento presentado por el senador Jorge Eliécer Ballesteros para participar en la discusión y votación de los Proyectos de ley número 051 del 2012, 210 de 2013 y ...	no-aprobado	40%	60%	2013	Comisión Séptima de Senado
	9744	Jun 04	Aprobación de la continuación de las votaciones de impedimentos a los Proyecto de ley número 051 del 2012 Senado, 210 de 2013 Senado y 233 de 2013 Senado, que reforman ...	no-aprobado	0%	100%	2013	Comisión Séptima de Senado
	10050	Jun 04	Aprobación del impedimento presentado por el representante Fernando de la Peña Márquez para participar en la discusión y votación del Proyecto de ley número 209 de 2013 Senado 267 de ...	no-aprobado	33%	67%	2013	Comisión Primera de Cámara de Representantes
	10051	Jun 04	Aprobación del impedimento presentado por el representante Alfonso Prada para participar en la discusión y votación del Proyecto de Ley número 209 del 2013 Senado, 267 de 2013 Cámara.	no-quorum	25%	75%	2013	Comisión Primera de Cámara de Representantes
	10052	Jun 04	Aprobación del impedimento presentado por el senador Juan Manuel Galán para participar en la discución y votación del proyecto de ley 209 del 2013 Senado, 267 de 2013 Cámara.	no-aprobado	0%	100%	2013	Comisión Primera de Senado
	10053	Jun 04	Aprobación del impedimento presentado por la senadora Doris Clemencia Vega Quiroz para participar en la discución y votación del proyecto de ley número 209 del 2013 Senado, 267 de 2013 ...	aprobado	73%	27%	2013	Comisión Primera de Senado
	10054	Jun 04	Aprobación del impedimento presentado por el senador Andrade Serrano Hernán Francisco para participar en la discución y votación del proyecto de ley número 209 de 2013 Senado 267 de 2013 ...	no-quorum	22%	78%	2013	Comisión Primera de Senado
	10326	Jun 04	Aprobación de la proposición modificatoria del orden del día para excluir el Proyecrto de ley número 62 de 2012 Cámara, suscrita por los representantes Juana Carolina Londoño, Ciro Antonio Rodríguez ...	no-aprobado	33%	67%	2013	Comisión Sexta de Cámara de Representantes
	10330	Jun 04	Aprobación de la proposición de archivo suscrita por el representante Wilson Arias al Proyecto de Ley número 177 de 2012 de Cámara.	no-aprobado	8%	92%	2013	Comisión Sexta de Cámara de Representantes
	10331	Jun 04	Aprobación de la proposición positiva con que termina el informe de ponencia del Proyecto de Ley 177 de 2012 de Cámara.	aprobado	93%	7%	2013	Comisión Sexta de Cámara de Representantes
	10339	Jun 04	Aprobación del título y el tránsito a siguiente debate del Proyecto de ley número 063 de 2012 Cámara, 207 de 2012 Senado.	aprobado	100%	0%	2013	Comisión Sexta de Cámara de Representantes
	10340	Jun 04	Aprobación del impedimento presentado por el representante Atilano Alonso Giraldo Arboleda para participar en la discusión y votación del Proyecto de ley número 241 de 2012 Cámara, 137 de 2011 ...	aprobado	64%	36%	2013	Comisión Sexta de Cámara de Representantes
	10342	Jun 04	Aprobación de la proposición de archivo del Proyecto de ley número 062 de 2012 suscrita por el representante Ciro Antonio Rodríguez.	no-aprobado	20%	80%	2013	Comisión Sexta de Cámara de Representantes
	10345	Jun 04	Aprobación de la proposición modificativa suscrita por la representante Juana Carolina Londoño Jaramillo a los artículos 1° y 2° del Proyecto de ley número 063 de 2012 Cámara, 207 de ...	aprobado	100%	0%	2013	Comisión Sexta de Cámara de Representantes
	10346	Jun 04	Aprobacion de la proposicion positiva con que termina el informe de ponencia del Proyecto de ley número 062 de 2012 Cámara.	aprobado	91%	9%	2013	Comisión Sexta de Cámara de Representantes
	10622	Jun 04	Aprobación en bloque del articulado del Proyecto de ley número 177 de 2012 Cámara.	aprobado	93%	7%	2013	Comisión Sexta de Cámara de Representantes
	10623	Jun 04	Aprobación del título y el tránsito a siguiente debate del Proyecto de Ley número 177 de 2012 Cámara.	aprobado	93%	7%	2013	Comisión Sexta de Cámara de Representantes
	10785	Jun 04	Aprobación de las proposiciones modificativas a los artículos 1 y 2, y 3 artículos nuevos del Proyecto de ley número 110 de 2012 Cámara.	aprobado	100%	0%	2013	Comisión Sexta de Cámara de Representantes
	9669	May 30	Aprobación de la proposición positiva con que termina el informe de ponencia del Proyecto de ley número 241 de 2013 Senado, 193 de 2012 Cámara.	aprobado	100%	0%	2013	Comisión Primera de Senado
	9670	May 30	Aprobación del artículo 1º del Proyecto de Ley número 241 de 2013 Senado, 193 de 2012 Cámara con las proposiciones modificativas suscritas por los senadores Luis Carlos Avellaneda y Juan ...	aprobado	100%	0%	2013	Comisión Primera de Senado
	9671	May 30	Aprobación del artículo 2º del Proyecto de Ley número 241 de 2013 Senado, 193 de 2012 Cámara con las proposiciones modificativas suscritas por los senadores Eduardo Enríquez Maya, Hernán Andrade, ...	aprobado	93%	7%	2013	Comisión Primera de Senado
	9694	May 30	Aprobación del artículo 3º del Proyecto de Ley número 241 de 2013 Senado, 193 de 2012 Cámara como fue aprobado en Plenaria de Cámara de Representantes.	aprobado	100%	0%	2013	Comisión Primera de Senado
	9695	May 30	Aprobación de la proposición positiva con que termina el informe de ponencia del Proyecto de Ley número 260 de 2013 Senado, 257 de 2013 Cámara.	aprobado	93%	7%	2013	Comisión Primera de Senado
	9696	May 30	Aprobación en bloque del articulado y las proposiciones modificativas, suscritas por el senador Luis Carlos Avellaneda, al artículo 1º del Proyecto Ley número 260 de 2013 Senado, 257 de 2013 ...	aprobado	93%	7%	2013	Comisión Primera de Senado
	9697	May 30	Aprobación del título y el tránsito a siguiente debate del Proyecto de Ley número 260 de 2013 Senado, 257 de 2013 Cámara.	aprobado	93%	7%	2013	Comisión Primera de Senado
	9728	May 30	Aprobación del informe con que termina el informe de ponencia del Proyecto de Ley Estatutaria número 307 de 2013 Cámara, 221 de 2013 Senado.	aprobado	100%	0%	2013	Comisión Primera de Cámara de Representantes
	9729	May 30	Aprobación en bloque del articulado del Proyecto de Ley Estatutaria número 307 de 2013 Cámara, 221 de 2013 Senado.	aprobado	100%	0%	2013	Comisión Primera de Cámara de Representantes
	9730	May 30	Aprobación del título y el tránsito a siguiente debate del Proyecto de Ley Estatutaria número 307 de 2013 Cámara, 221 de 2013 Senado.	aprobado	100%	0%	2013	Comisión Primera de Cámara de Representantes
	9702	May 29	Aprobación del título y el tránsito a siguiente debate del Proyecto de Ley número 255 de 2012 Cámara, 196 de 2012 Senado.	no-aprobado	31%	69%	2013	Comisión Séptima de Cámara de Representantes
	9708	May 29	Aprobación de la proposición positiva con que termina el informe de ponencia del Proyecto de ley número 166 de 2012 Senado.	aprobado	100%	0%	2013	Comisión Sexta de Senado
	9710	May 29	Aprobación de la omisión de la lectura del articulado del Proyecto de ley número 166 de 2012 Senado.	aprobado	100%	0%	2013	Comisión Sexta de Senado
	9711	May 29	Aprobación en bloque del articulado, título y el tránsito a siguiente debate del Proyecto de ley número 166 de 2012 Senado.	aprobado	100%	0%	2013	Comisión Sexta de Senado
	9712	May 29	Aprobación de la proposición positiva con que termina el informe de ponencia del Proyecto de ley número 223 de 2013 Senado.	aprobado	100%	0%	2013	Comisión Sexta de Senado
	9713	May 29	Aprobación en bloque de los artículos sin proposición 1°, 2°, 3°, 4°, 5°, 6°, 9°, 17, 18, 22, 23, 25, 26, 27, 28, 29, 30, 33, 34, 38, 39, 42, ...	aprobado	100%	0%	2013	Comisión Sexta de Senado
	9714	May 29	Aprobación del artículo 7° junto con la proposición suscrita por los senadores Plinio Olano y Alexander López Maya, al Proyecto de ley número 223 de 2013 Senado.	aprobado	100%	0%	2013	Comisión Sexta de Senado
