camaras	id	mes_dia	procedimiento	estado	acuerdo	desacuerdo	ano	comisiones
Cámara de Representantes	10856	Sep 03	Aprobación de la proposición modificativa del artículo 2 presentada por los representantes Armando Zabaraín, Eduardo Diazgranados, Clara Rojas y Edward Rodríguez del Proyecto de Ley 176 de 2013 Cámara, 105 ...	aprobado	99%	1%	2014	
Cámara de Representantes	10855	Aug 19	Aprobación del impedimento presentado por los representantes Martha Curí, Mauricio Salazar, María Zuluaga, Cristian Moreno, Julio Gallardo, Santiago Valencia, y Eduardo Tous para participar en la votación de la elección ...	no-aprobado	47%	53%	2014	
Cámara de Representantes	10857	Aug 19	Aprobación del impedimento presentado por los representantes Liliana Benavides, Neftalí Correa, Kelyn Johana González, Argenis Velásquez, Norvey Marulanda, Eduardo José Tous, Alfredo Ape Cuello, Martha Villalba, Jair Arango, Nilton Córdoba, ...	no-aprobado	49%	51%	2014	
Cámara de Representantes	10858	Aug 19	Aprobación del impedimento presentado por los representantes Ciro Fernández, Miguel Ángel Barreto, Rodrigo Lara, Sara Piedrahíta, León Ramírez para la participación en la elección del Contralor General de la Nación.	no-aprobado	34%	66%	2014	
Cámara de Representantes	10859	Aug 19	Aprobación del impedimento presentado por los representantes Yahir Acuña, Candelaria Rojas, Ana María Rincón para participar en la elección del Contralor General de la Nación.	no-aprobado	34%	66%	2014	
Senado	10860	Aug 19	Aprobación del impedimento presentado por los senadores Alfredo Ramos Maya, Thania Ruby Vega de Plazas, Antonio Guerra de la Espriella, Bernardo Miguel Elías Vidal María del Rosario Guerra de la ...	no-aprobado	36%	64%	2014	
Senado	10861	Aug 19	Aprobación del impedimento presentado por los senadores Álvaro Uribe Vélez, Honorio Henríquez Pinedo, Manuel Enríquez Rosero y Jorge Iván Ospina para la participación en la elección del Contralor General de ...	aprobado	65%	35%	2014	
Cámara de Representantes	10853	Aug 12	Aprobación en bloque del articulado del Proyecto de Ley número 168 de 2013 Cámara	aprobado	90%	10%	2014	
Cámara de Representantes	10854	Aug 12	Aprobación del título y que se convierta en ley el Proyecto número 168 de 2013 Cámara.	aprobado	90%	10%	2014	
Cámara de Representantes	10849	Aug 06	Aprobación de la modificación al Orden del día propuesta por el representante Germán Navas Talero	no-aprobado	34%	66%	2014	
Cámara de Representantes	10851	Aug 06	Aprobación de la proposición positiva con que termina el informe de ponencia del Proyecto de Ley número 168 de 2013 Cámara.	aprobado	92%	8%	2014	
Cámara de Representantes	10846	Aug 05	Aprobación de la modificación al Orden del día propuesta por los representantes Óscar Hurtado y Telésforo Pedraza	no-aprobado	45%	55%	2014	
Cámara de Representantes	10847	Aug 05	Aprobación del impedimento presentado por los representantes Santiago Valencia y Alfredo Deluque para participar en la discusión y votación del Proyecto de Ley número 070 de 2013 Cámara.	no-aprobado	39%	61%	2014	
Cámara de Representantes	10848	Aug 05	Aprobación del impedimento presentado por la representante Sara Piedrahita para participar en la discusión y votación del Proyecto de Ley número 125 de 2013 Cámara	aprobado	61%	39%	2014	
Cámara de Representantes	10850	Aug 05	Aprobación en bloque del articulado del Proyecto de Ley número 125 de 2013 Cámara, junto con la proposición modificativa al artículo 2, suscrita por el representante Telésforo Pedraza	aprobado	87%	13%	2014	
Cámara de Representantes	10852	Aug 05	Aprobación del impedimento presentado por la representante Sara Elena Piedrahita para participar en la discusión y votación del Proyecto de Ley número 122 de 2013 Cámara.	aprobado	73%	27%	2014	
Senado	10843	Jul 30	Aprobación del impedimento presentado por el senador Eduardo Enrique Pulgar Daza para participar en la discusión y votación del Proyecto de Ley número 174 de 2014 Senado.	no-aprobado	4%	96%	2014	
Senado	10844	Jul 30	Aprobación del informe de conciliación del Proyecto de Ley 174 de 2014 Senado, 201 de 2014 de Cámara.	aprobado	96%	4%	2014	
Cámara de Representantes	10840	Jul 29	Aprobación de la modificación al Orden del día presentada por el representante Fabio Alonso Arroyave Botero.	no-aprobado	37%	63%	2014	
Cámara de Representantes	10841	Jul 29	Aprobación de la modificación al Orden del día propuesta por los representantes Humphrey Roa y Orlando Guerra por el Proyecto de ley 186 de 2014 de Cámara.	aprobado	89%	11%	2014	
Cámara de Representantes	10842	Jul 29	Aprobación de la modificación al Orden del día propuesto por la representante Margarita María Restrepo.	no-aprobado	28%	72%	2014	
Senado	10845	Jul 29	Aprobación de la modificación al Orden del día propuesta por el senador Iván Cepeda.	no-aprobado	40%	60%	2014	
Cámara de Representantes	10807	Jun 19	Aprobación del impedimento presentado por el representante Germán Navas Talero para participar en la discusión y votación del Proyecto de ley número 300 de 2013 Cámara, 226 de 2013 Senado.	no-quorum	76%	24%	2014	
Cámara de Representantes	10801	Jun 18	Aprobación del informe de objeciones presentadas por el Ejecutivo al Proyecto de ley 226 de 2012 Cámara, 046 de 2011 Senado.	aprobado	100%	0%	2014	
Cámara de Representantes	10802	Jun 18	Aprobación del informe de objeciones presentadas por el Ejecutivo al Proyecto de ley número 008 de 2012 Cámara, 193 de 2012 Senado.	aprobado	98%	2%	2014	
Cámara de Representantes	10803	Jun 18	Aprobación del informe de objeciones presetadas por el Ejecutivo al Proyecto de ley número 331 de 2013 Cámara, 143 de 2012 Senado.	aprobado	100%	0%	2014	
Cámara de Representantes	10804	Jun 18	Aprobación de la proposicón positiva con que termina el informe de ponencia del Proyecto de ley número 144 de 2013 Cámara.	no-quorum	92%	8%	2014	
	10830	Jun 18	Aprobación de la proposición suscrita por el representante Germán Varón Cotrino por medio de la cual pasa a ser el primer punto del Orden del día el Proyecto del Ley ...	aprobado	100%	0%	2014	Comisión Primera de Cámara de Representantes
	10831	Jun 18	Aprobación de la proposición suscrita por el representante Germán Varón Cotrino por medio de la cual se retira el artículo 4º del Proyecto de ley número 091 de 2013 Cámara.	aprobado	94%	6%	2014	Comisión Primera de Cámara de Representantes
	10832	Jun 18	Aprobación del impedimento suscrito por la representante Rosmery Martinez para participar en la discusión y votación del artículo 5º del Proyecto de ley 091 de 2013 Cámara.	aprobado	84%	16%	2014	Comisión Primera de Cámara de Representantes
	10833	Jun 18	Aprobación del artículo 5º del Proyecto de ley 091 de 2013 Cámara como está redactado en la ponencia.	aprobado	94%	6%	2014	Comisión Primera de Cámara de Representantes
Senado	10796	Jun 17	Aprobación al informe de objeciones presentadas por el ejecutivo al Proyecto de ley número 193 de 2012 Senado, 008 de 2012 Cámara.	aprobado	98%	2%	2014	
Senado	10797	Jun 17	Aprobación de la proposición suscrita por los representantes Jorge Enrique Robledo Castillo y Alexander López Maya por medio de la cual se aplaza la discusión del Proyecto de ley número ...	no-aprobado	42%	58%	2014	
Senado	10798	Jun 17	Aprobación de la proposición positiva con que termina el informe de ponencia del Proyecto de ley número 200 de 2014 Senado, 202 de 2014.	aprobado	57%	43%	2014	
Senado	10799	Jun 17	Aprobación de la omisión de la lectura del articulado en bloque del Proyecto de ley número 200 de 2014 Senado, 202 de 2014 Cámara.	aprobado	65%	35%	2014	
Senado	10800	Jun 17	Aprobación del título y que sea Ley de la República del Proyecto de ley número 200 de 2014 Senado, 202 de 2014 Cámara.	aprobado	64%	36%	2014	
	10811	Jun 17	Aprobación del impedimento presentado por el representante Pedro Pablo Pérez Puerta para la discusió y votación del Proyecto de ley número 198 de 2014 Cámara.	no-aprobado	0%	100%	2014	Comisión Segunda de Cámara de Representantes
	10817	Jun 17	Aprobación de la proposición de archivo suscrita por los representantes Germán Navas y Hugo Velásquez Proyecto de ley número 091 de 2013 Cámara.	no-aprobado	11%	89%	2014	Comisión Primera de Cámara de Representantes
	10818	Jun 17	Aprobación de la proposición por medio de la cual se da tránsito a primer debate al Proyecto de ley número 091 del 2013 Cámara.	aprobado	86%	14%	2014	Comisión Primera de Cámara de Representantes
	10819	Jun 17	Aprobación del artículo 1º del Proyecto de ley 091 de 2013 Cámara, como está redactado en la ponencia.	aprobado	95%	5%	2014	Comisión Primera de Cámara de Representantes
	10820	Jun 17	Aprobación del artículo 2º al Proyecto de ley 091 de 2013 Cámara, como está redactado en la ponencia.	aprobado	89%	11%	2014	Comisión Primera de Cámara de Representantes
	10821	Jun 17	Aprobación del artículo 3º del Proyecto de ley 091 de 2013 Cámara, como está redactado en la ponencia.	aprobado	89%	11%	2014	Comisión Primera de Cámara de Representantes
	10824	Jun 17	Aprobación de la proposición suscrita por los representantes Manuel Enríquez Rosero, Luis Fernando Velasco Chaves y Jorge Eduardo Londoño Ulloa, por medio de la cual se retira la primera ponencia ...	aprobado	100%	0%	2014	Comisión Primera de Senado
	10825	Jun 17	Aprobación de la proposición positiva con que termina el informe de ponencia del Proyecto de ley número 94 de 2013 Senado.	aprobado	100%	0%	2014	Comisión Primera de Senado
	10826	Jun 17	Aprobación en bloque del articulado, con excepción del artículo 4º, del Proyecto de ley número 94 de 2013 Senado.	aprobado	100%	0%	2014	Comisión Primera de Senado
	10827	Jun 17	Aprobación de la proposición modificativa al artículo 4º suscrita por el representante Luis Carlos Avellaneda Tarazona al Proyecto de ley número 94 de 2013 senado.	aprobado	100%	0%	2014	Comisión Primera de Senado
	10828	Jun 17	Aprobación de la proposición sucrita por el representante Juan Manuel Galán, por medio de la cual se adiciona un artículo al Proyecto de ley 094 de 2013 Senado.	no-aprobado	50%	50%	2014	Comisión Primera de Senado
	10829	Jun 17	Aprobación del título del Proyecto de ley número 094 de 2013 Senado.	aprobado	100%	0%	2014	Comisión Primera de Senado
	10790	Jun 04	Aprobación del impedimento suscrito por el representante Juan Lozano para participar en la discusión y votación del Proyecto de ley número 21 de 2013 Senado.	no-aprobado	0%	100%	2014	Comisión Segunda de Senado
	10756	Jun 03	Aprobación de los impedimentos presentados por los representantes Eduardo Crissien, Raymundo Méndez y Gerardo Tamayo para participar en la discusión y votación del Proyecto de ley número 144 de 2013 ...	no-aprobado	11%	89%	2014	Comisión Tercera de Cámara de Representantes
	10757	Jun 03	Aprobación de la modificación del título y tránsito al siguiente debate del Proyecto de ley número 144 de 2013 Cámara.	aprobado	100%	0%	2014	Comisión Tercera de Cámara de Representantes
Senado	10760	Jun 03	Aprobación del informe de corrección de vicios del Proyecto de ley números 39 de 2009 Senado, 306 de 2010 Cámara.	aprobado	100%	0%	2014	
Senado	10761	Jun 03	Aprobación al informe de corrección de vicios del Proyecto de ley números 54 de 2010 Senado, 170 de 2010 Cámara.	aprobado	100%	0%	2014	
Senado	10762	Jun 03	Aprobación al informe de objeciones presentadas por el Ejecutivo al Proyecto de ley número 143 de 2012 Senado, 331 de 2013 Cámara.	aprobado	100%	0%	2014	
Cámara de Representantes	10788	Jun 03	Aprobación de los impedimentos suscritos por los representantes Luis Antonio Serrano Morales, Alfredo Rafael Deluque Zuleta y Efraín Torres Monsalvo para participar en la discusión y votación del Proyecto de ...	no-quorum	29%	71%	2014	
	10808	Jun 03	Aprobación de la proposición positiva con que termina el informe de ponencia del Proyecto de ley número 168 de 2013 Cámara y 086 de 2013 Senado.	aprobado	91%	9%	2014	Comisión Segunda de Cámara de Representantes
	10809	Jun 03	Aprobación en bloque del artículado del Proyecto de ley número 168 de 2013 Cámara y 086 de 2013 Senado.	aprobado	92%	8%	2014	Comisión Segunda de Cámara de Representantes
	10810	Jun 03	Aprobación del título y que sea Ley de la República del Proyecto de ley número 168 de 2013 Cámara y 086 de 2013 Senado.	aprobado	92%	8%	2014	Comisión Segunda de Cámara de Representantes
	10822	Jun 03	Aprobación de la proposición positiva con que termina el informe de ponencia del Proyecto de ley número 256 de 2012 Senado, 146 de 2012 Cámara.	aprobado	100%	0%	2014	Comisión Primera de Senado
	10823	Jun 03	Aprobación en bloque del articulado del Proyecto de ley número 256 de 2012 Senado, 146 de 2012 Cámara.	aprobado	100%	0%	2014	Comisión Primera de Senado
Cámara de Representantes	10755	May 28	Aprobación de los impedimentos presentados por los representantes Luis Antonio Serrano, Alfredo Rafael Deluque Zuleta y Efraín Torres Monsalvo para participar en la discusión y votación del Proyecto de ley ...	no-quorum	27%	73%	2014	
	10791	May 28	Aprobación del impedimento suscrito por el representante Juan Lozano para participar en la discusión y votación del Proyecto de ley número 200 de 2014 Senado, 202 de 2014 Cámara.	no-aprobado	16%	84%	2014	Comisión Segunda de Cámara de Representantes, Comisión Segunda de Senado
	10792	May 28	Aprobación de la proposición final del Proyecto de ley número 200 de 2014, Senado y 202 de 2014 Cámara.	aprobado	94%	6%	2014	Comisión Segunda de Cámara de Representantes, Comisión Segunda de Senado
	10793	May 28	Aprobación del título y tránsito al siguiente debate del Proyecto de ley número 200 de 2014 Senado y 202 de 2014 Cámara.	aprobado	94%	6%	2014	Comisión Segunda de Cámara de Representantes, Comisión Segunda de Senado
	10794	May 28	Aprobación del articulado y la omisión de su lectura del Proyecto de ley número 200 de 2014, Senado y 202 de 2014 Cámara.	aprobado	94%	6%	2014	Comisión Segunda de Cámara de Representantes, Comisión Segunda de Senado
Cámara de Representantes	10729	May 27	Aprobación del articulado del Proyecto del ley número 340 de 2013 Cámara, 117 de 2012 Senado	aprobado	80%	20%	2014	
Cámara de Representantes	10731	May 27	Aprobación de la proposición presentada por el representante Carlos Andrés Amaya por medio de la cual se reabre la votación del título y pregunta para convertirse en ley del proyecto ...	aprobado	86%	14%	2014	
Cámara de Representantes	10732	May 27	Aprobación del título y que se convierta en ley el proyecto número 340 de 2013 Cámara, 117 de 2012 Senado.	aprobado	86%	14%	2014	
Cámara de Representantes	10733	May 27	Aprobación de los impedimentos presentados por los representantes Luis Antonio Serrano y Alfredo Rafael Deluque para participar en la votación y discusión del proyecto de ley números 334 de 2013 ...	no-quorum	28%	72%	2014	
	10789	May 27	Aprobación del artículo 7º del Proyecto de ley número 91 de 2013 Senado.	aprobado	100%	0%	2014	Comisión Segunda de Senado
	10805	May 27	Aprobación de la proposición suscrita por el representante Yahir Acuña por medio de la cual se aplaza la discusión de control politico en la que se debatía el Proyecto de ...	aprobado	100%	0%	2014	Comisión Segunda de Cámara de Representantes
	10806	May 27	Aprobación de la proposición suscrita por el representante Augusto Posada Sanchez por medio de la cual se celebran cuatro foros regionales con la participación de la comunidad y sectores económicos, ...	no-aprobado	0%	100%	2014	Comisión Segunda de Cámara de Representantes
Cámara de Representantes	10734	May 20	Aprobación de la proposición positiva con que termina el informe de ponencia del proyecto de ley número 340 de 2013 Cámara, 117 de 2012 Senado.	aprobado	89%	11%	2014	
Cámara de Representantes	10735	May 20	Aprobación del articulado del Proyecto de ley número 340 de 2013 Cámara, 117 de 2012 Senado.	no-quorum	90%	10%	2014	
Senado	10736	May 20	Aprobación de los artículos: 8, 11, 17, 18, 22, 27 y 29 como están en la ponencia y la proposición modificativa al artículo 15 suscrita por el senador Juan Lozano ...	aprobado	96%	4%	2014	
Senado	10737	May 20	Aprobación en bloque del articulado, el título y tránsito a siguiente debate del proyecto de ley número 85 de 2013 Senado.	aprobado	98%	2%	2014	
Senado	10738	May 14	Aprobación del impedimento presentado por senador Fernando Eustacio Tamayo Tamayo para participar en la discusión y votación del Proyecto de ley número 85 de 2013 Senado.	no-aprobado	34%	66%	2014	
Senado	10739	May 14	Aprobación del impedimento presentado por senador Milton Arlex Rodríguez Sarmiento para participar en la discusión y votación del Proyecto de ley número 85 de 2013 Senado.	no-aprobado	24%	76%	2014	
Senado	10740	May 14	Aprobación de la proposición positiva con que termina el informe de ponencia del Proyecto de ley número 85 de 2013 Senado.	aprobado	88%	12%	2014	
Senado	10741	May 14	Aprobación en bloque de los artículos como vienen en la ponencia: 1, 5, 6, 7, 9, 12, 13, 19, 20, 21, 23, 24, 25, 28, 32, 35, 37, 38, 43, ...	aprobado	88%	12%	2014	
Senado	10742	May 14	Aprobación de las proposiciones presentadas por el senador Honorio Galvis a los artículos 2, 3, 4, 10, 16, 26, 30, 31, 33, 34, 36, 39, 40, 41, 42, 47, 52, ...	aprobado	92%	8%	2014	
	10747	May 13	Aprobación de la proposición presentada por el representante Iván Cepeda por medio de la cual se solicita al Gobierno Nacional la petición de extradición de la exdirectora del DAS María ...	aprobado	90%	10%	2014	Comisión Segunda de Cámara de Representantes
	10716	May 07	Aprobación de la proposición por medio de la cual se retiran los artículos 6, 7, 8 y 9 del Proyecto de ley número 090 de 2013 Cámara, 118 de 2013 ...	no-aprobado	6%	94%	2014	Comisión Cuarta de Cámara de Representantes
	10717	May 07	Aprobación del artículo 6 del Proyecto de ley número 090 de 2013, Cámara, 118 de 2013 Senado, como está en la ponencia.	no-aprobado	93%	7%	2014	Comisión Cuarta de Cámara de Representantes, Comisión Tercera de Cámara de Representantes
Senado	10764	May 07	Aprobación de la proposición suscrita por el senador Jorge Eduardo Londoño Ulloa por medio de la cual se adiciona un nuevo artículo al Proyecto de ley número 148 de 2013 ...	no-aprobado	13%	87%	2014	
Senado	10765	May 07	Aprobación de la corrección de vicios del Proyecto de ley número 39 de 2009 Senado, 306 de 2010 Cámara.	no-quorum	100%	0%	2014	
	10774	May 07	Aprobación de la proposición suscrita por el representante Pablo Enrique Salamanca Cortés por medio de la cual se somete a discusión y votación el Proyecto de ley número 079 de ...	no-aprobado	17%	83%	2014	Comisión Primera de Cámara de Representantes
Senado	10778	May 07	Aprobación de la elección de Gloria Stella Ortiz como Magistrada de la Corte Constitucional en reemplazo de Nilson Pinilla.	aprobado	0%	0%	2014	
Cámara de Representantes	10753	May 06	Aprobación de la elección del representante Jaime Yepes como miembro de la Comisión de Acusaciones.	no-quorum	100%	0%	2014	
	10767	May 06	Aprobación de la proposición suscrita por el representante Germán Varón Cotrino por medio de la cual se eliminan los artículos 8 y 9 de la ponencia para la modificación del ...	aprobado	100%	0%	2014	Comisión Primera de Cámara de Representantes
	10768	May 06	Aprobación de la proposición sustitutiva suscrita por los representantes Alfredo de Luque, Germán Varón Cotrino, y Alfonso Prada al artículo 7 del Proyecto de ley número 278 de 2013 Cámara, ...	aprobado	100%	0%	2014	Comisión Primera de Cámara de Representantes
	10769	May 06	Aprobación de la proposición por medio de la cual se adiciona un artículo al Proyecto de ley número 278 de 2013 Cámara, 15 de 2012 Senado.	aprobado	100%	0%	2014	Comisión Primera de Cámara de Representantes
	10770	May 06	Aprobación de la proposición suscrita por los representantes Alfredo Deluque, Germán Varón y Alfonso Prada, por medio de la cual se adiciona un artículo nuevo al Proyecto de ley número ...	aprobado	100%	0%	2014	Comisión Primera de Cámara de Representantes
	10771	May 06	Aprobación de la proposición por medio de la cual se adiciona un artículo nuevo al Proyecto de ley número 278 de 2013 Cámara, 15 de 2012 Senado.	aprobado	100%	0%	2014	Comisión Primera de Cámara de Representantes
	10772	May 06	Aprobación de la proposición modificativa presentada por el representante Humphrey Roa al título del Proyecto de ley número 15 de 2012 Senado, 278 de 2013 Cámara.	aprobado	100%	0%	2014	Comisión Primera de Cámara de Representantes
	10773	May 06	Aprobación de la proposición suscrita por el representante Humphrey Roa por medio de la cual se aplaza la discusión del Proyecto de ley número 079 de 2013 Cámara y se ...	no-quorum	94%	6%	2014	Comisión Primera de Cámara de Representantes
	10812	May 06	Aprobación de la proposición de archivo suscrita por el representante Silvio Vásquez Villanueva al Proyecto de ley número 040 de 2013 Cámara, 223 de 2013 Senado.	aprobado	100%	0%	2014	Comisión Sexta de Cámara de Representantes
	10813	May 06	Aprobación del impedimento presentado por el representante Jairo Ortega Samboni para participar en la discusión y votación del Proyecto de ley número 186 de 2014 Cámara.	no-aprobado	27%	73%	2014	Comisión Sexta de Cámara de Representantes
	10814	May 06	Aprobación de la proposición suscrita por los representantes Luis Guillermo Barrera, Iván Darío Agudelo y Atilano Alonso Giraldo por medio de la cual se elimina el artículo 2º del Proyecto ...	aprobado	100%	0%	2014	Comisión Sexta de Cámara de Representantes
	10815	May 06	Aprobación de la proposición por medio de la cual se modifica el título del proyecto de ley 186 de 2014 cámara.	aprobado	100%	0%	2014	Comisión Sexta de Cámara de Representantes
	10816	May 06	Aprobación en bloque del articulado del Proyecto de ley número 006 de 2013 Cámara.	aprobado	92%	8%	2014	Comisión Sexta de Cámara de Representantes
Senado	10706	Apr 29	Aprobación del artículo 8 del Proyecto de ley número 244 de 2013 Senado, 037 de 2012 Cámara, como está en la ponencia.	aprobado	66%	34%	2014	
Senado	10707	Apr 29	Aprobación de los artículos 10, 11 y 13 como están en la ponencia, del Proyecto de ley número 244 de 2013 Senado, 037 de 2012 Cámara.	aprobado	82%	18%	2014	
Senado	10708	Apr 29	Aprobación de la proposición suscrita por el senador Juan Lozano por medio de la cual se adiciona un artículo al Proyecto de ley número 244 de 2013 Senado, 037 de ...	no-quorum	100%	0%	2014	
Cámara de Representantes	10709	Apr 29	Aprobación del impedimento presentado por el representante Miguel Gómez para participar en la discusión y votación del Proyecto de ley Estatutaria número 227 del 2012 Senado, 134 del 2011 Cámara.	no-aprobado	21%	79%	2014	
Cámara de Representantes	10710	Apr 29	Aprobación del informe de conciliación del proyecto de ley Estatutaria número 134 de 2011 Cámara, 227 del 2012 Senado	aprobado	100%	0%	2014	
	10744	Apr 29	Aprobación del orden del día del miércoles 26 de marzo de 2014.	aprobado	100%	0%	2014	Comisión Séptima de Senado
	10745	Apr 29	Aprobación del orden del día del martes 21 de abril de 2017.	aprobado	100%	0%	2014	Comisión Séptima de Senado
	10746	Apr 29	Aprobación del orden del día del martes 8 de abril de 2014.	aprobado	100%	0%	2014	Comisión Séptima de Senado
Senado	10713	Apr 23	Aprobación del informe de conciliación del Proyecto de ley número 227 de 2012 Senado, 134 de 2011 Cámara.	aprobado	100%	0%	2014	
	10714	Apr 23	Aprobación del impedimento presentado por el representante Augusto Posada para participar en la discusión y votación del Proyecto de Ley número 159 de 2013 Cámara, 230 de 2013 Senado.	no-aprobado	9%	91%	2014	Comisión Segunda de Cámara de Representantes
	10715	Apr 23	Aprobación del impedimento presentado por el representante Telésforo Pedraza para participar en la discusión y votación del Proyecto de Ley número 159 de 2013 Cámara, 230 de 2013 Senado.	no-aprobado	15%	85%	2014	Comisión Segunda de Cámara de Representantes
	10743	Apr 23	Aprobación del aplazamiento de la discusión del Proyecto de ley número 159 de 2013 Cámara, 230 de 2013 Senado.	aprobado	93%	7%	2014	Comisión Segunda de Cámara de Representantes
	10754	Apr 23	Aprobación de la proposición suscrita por el representante Heriberto Sanabria por medio de la cual se invita al procurador Alejandro Ordoñez a la discusión del Proyecto de ley número 181 ...	aprobado	65%	35%	2014	Comisión Primera de Cámara de Representantes
	10758	Apr 23	Aprobación de la proposición sustitutiva suscrita por el representante Humphrey Roa al artículo 5° del Proyecto de ley número 278 de 2013 Cámara, 15 de 2012 Senado.	aprobado	100%	0%	2014	Comisión Primera de Cámara de Representantes
	10759	Apr 23	Aprobación de la proposición modificativa suscrita por los representantes Alfredo Rafael Deluque Zuleta, Germán Varón Cotrino, Alfredo Bocanegra Varón, Victoria Eugenia Vargas Vives, Hernando Alfonso Prada Gil, José Rodolfo Pérez ...	no-quorum	100%	0%	2014	Comisión Primera de Cámara de Representantes
	10763	Apr 23	Aprobación del impedimento presentado por el representante Jair Arango para participar en la discusión y votación del Proyecto de ley número 134 de 2013 Cámara, 140 de 2013 Senado.	no-aprobado	5%	95%	2014	Comisión Tercera de Cámara de Representantes, Comisión Tercera de Senado
	10780	Apr 23	Aprobación de la proposición suscrita por el representante Carlos Baena por medio de la cual se invita a la Contraloría General de la República a ejercer control excepcional sobre las ...	aprobado	100%	0%	2014	Comisión Sexta de Senado
	10781	Apr 23	Aprobación de la proposición suscrita por el representante Carlos Baena por medio de la cual se solicita a la Contraloría General de la República el control excepcional al contrato de ...	aprobado	100%	0%	2014	Comisión Sexta de Senado
	10782	Apr 23	Aprobación de la proposición positiva con que termina el informe de ponencia del Proyecto de ley número 174 de 2014 Senado.	aprobado	100%	0%	2014	Comisión Sexta de Senado
	10783	Apr 23	Aprobación en bloque de los artículos 2, 3, 5 y 8 como vienen en la ponencia del Proyecto de ley número 174 de 2014 Senado.	aprobado	100%	0%	2014	Comisión Sexta de Senado
	10784	Apr 23	Aprobación de la proposición modificativa de los artículos 1, 4 y 6, y de la proposición para la eliminación del artículo 7 suscritas por el representante Efraín Torrado García al ...	aprobado	100%	0%	2014	Comisión Sexta de Senado
	10786	Apr 23	Aprobación de la proposición suscrita por el representante Efraín Torrado García por medio de la cual se añade un artículo al Proyecto de ley número 174 de 2014 Senado.	aprobado	100%	0%	2014	Comisión Sexta de Senado
	10787	Apr 23	Aprobación del título y tránsito al siguiente debate del Proyecto de ley número 174 de 2014 Senado.	aprobado	100%	0%	2014	Comisión Sexta de Senado
Cámara de Representantes	10701	Apr 22	Aprobación de la proposición modificativa al artículo 3 suscrita por el representante Jaime Serrano y César Franco del Proyecto de ley número 225 de 2012 Cámara, 149 de 2012 Senado.	no-quorum	5%	95%	2014	
Cámara de Representantes	10632	Apr 08	Aprobación del Informe de Objeciones presentadas por el Ejecutivo al Proyecto de Ley número 96 de 2012 Cámara, 278 de 2013 Senado.	aprobado	100%	0%	2014	
Cámara de Representantes	10700	Apr 08	Aprobación del impedimento presentado por el representante Luis Eduardo Díaz-Granados para participar en la discusión y votación del Proyecto de ley número 219 de 2012 Cámara.	no-quorum	62%	38%	2014	
	10748	Apr 08	Aprobación de la proposición positiva con que termina el informe de ponencia del Proyecto de Ley número 15 de 2012 Senado, 278 de 2013 Cámara.	aprobado	100%	0%	2014	Comisión Primera de Cámara de Representantes
	10749	Apr 08	Aprobación del artículo 3° del Proyecto de ley número 15 del 2012 Senado, 278 del 2013 Cámara, como viene en la ponencia.	aprobado	100%	0%	2014	Comisión Primera de Cámara de Representantes
	10750	Apr 08	Aprobación de la proposición modificativa suscrita por los representantes Alfredo Deluque y Germán Varón al artículo 1° del Proyecto de ley número 15 del 2012 Senado, 278 del 2013 Cámara.	aprobado	91%	9%	2014	Comisión Primera de Cámara de Representantes
	10751	Apr 08	Aprobación de la proposición suscrita por el representante Miguel Gómez al artículo 115 del Proyecto de ley número 15 del 2012 Senado, 278 del 2013 Cámara.	aprobado	100%	0%	2014	Comisión Primera de Cámara de Representantes
	10752	Apr 08	Aprobación de la proposición modificativa al artículo 4° presentado por los representantes Germán Varón y Alfredo Deluque al Proyecto de Ley número número 15 del 2012 Senado, 278 del 2013 ...	aprobado	100%	0%	2014	Comisión Primera de Cámara de Representantes
	10775	Apr 08	Aprobación de la proposición positiva con que termina el informe de ponencia del Proyecto de ley número 92 de 2013 Senado.	aprobado	89%	11%	2014	Comisión Segunda de Senado
	10776	Apr 08	Aprobación de la proposición suscrita por el representante Roy Barreras por medio de la cual se omite la lectura del articulado del Proyecto de ley número 92 de 2013 Senado.	aprobado	89%	11%	2014	Comisión Segunda de Senado
	10777	Apr 08	Aprobación del título del Proyecto de ley número 92 de 2013 Senado.	aprobado	89%	11%	2014	Comisión Segunda de Senado
	10779	Apr 08	Aprobación para el tránsito al siguiente debate del Proyecto de ley número 92 de 2013 Senado.	aprobado	89%	11%	2014	Comisión Segunda de Senado
Cámara de Representantes	10631	Apr 02	Aprobación del informe de conciliación del Proyecto de Ley número 134 de 2011 Cámara, 227 de 2012 Senado.	no-quorum	96%	4%	2014	
Cámara de Representantes	10627	Apr 01	Aprobación de la proposición positiva con que termina el informe de ponencia del Proyecto de Ley número 254 de 2013 Cámara, 187 de 2014 Senado.	aprobado	97%	3%	2014	
Cámara de Representantes	10628	Apr 01	Aprobación del articulado y la proposición suscrita por los representantes Simón Gaviria Muñoz y John Jairo Roldán al Proyecto de Ley número 254 de 2013 Cámara, 187 de 2014 Senado.	aprobado	99%	1%	2014	
Cámara de Representantes	10629	Apr 01	Aprobación del título y que sea ley el Proyecto de Ley número 254 de 2013 Cámara, 187 de 2014 Senado.	aprobado	99%	1%	2014	
Cámara de Representantes	10630	Apr 01	Aprobación del impedimento presentado por el representante Raymundo E. Mendaz B. para participar en la discusión y votación del Proyecto de Ley número 122 de 2013 Cámara.	no-quorum	82%	18%	2014	
